method,epoch,lr,stack,bs,gating,Fsize,hiddens,Fnum,JSD,RNSS,time
CNNRNN,10,0.001,1,30,True,2_2,1024,128,0.03011441020664912,0.10594655066514301,4.962829836201854
CNNRNN,10,0.001,2,30,True,2_2,1024,128_256,0.027678852072110148,0.09897807095865661,5.353362966584973
CNNRNN,10,0.001,3,30,True,2_2,1024,128_256_512,0.027846223349480715,0.10152738547422702,6.614687965926715
CNNRNN,10,0.001,2,30,True,2_2,1024,256_512,0.02797583943948142,0.10062809954317352,6.280079981102608
CNNRNN,10,0.001,3,30,True,2_2,1024,256_512_1024,0.028442523750821295,0.10127031429082901,9.593189709214494
CNNRNN,10,0.001,1,30,False,2_2,1024,128,0.0275973299285145,0.09934489602462782,4.962546113063581
CNNRNN,10,0.001,2,30,False,2_2,1024,128_256,0.0263936898325824,0.09701440773556597,5.473466194327921
CNNRNN,10,0.001,3,30,False,2_2,1024,128_256_512,0.028826543378999127,0.10358686947404298,6.730024210200645
CNNRNN,10,0.001,2,30,False,2_2,1024,256_512,0.026075996319956177,0.09465208084215551,6.4851643477100875
CNNRNN,10,0.001,3,30,False,2_2,1024,256_512_1024,0.0306235030422994,0.1098904631661771,9.92826962203253
