method,epoch,lr,stack,bs,gating,batch_norm,Fsize,hiddens,Fnum,JSD,RNSS,time
CNNRNN,10,0.001,3,30,False,False,2_2,1024,128_256_512,0.03513996598506947,0.11757282842775993,5.428253220999613
CNNRNN,13,0.001,3,30,False,False,2_2,1024,128_256_512,0.02762468445431631,0.10083617963661987,5.295808348339051
CNNRNN,21,0.001,1,30,False,False,2_2,1024,256,0.02907684633677788,0.10520907919673961,3.647875467160096
CNNRNN,14,0.001,2,30,False,False,2_2,1024,256_512,0.026575213807665404,0.09853203794290262,5.0380106907604
CNNRNN,15,0.001,3,30,False,False,2_2,1024,256_512_1024,0.02684062459962197,0.10043542046731957,8.385842975818862
CNNRNN,10,0.001,3,30,False,True,2_2,1024,128_256_512,0.026924218562687317,0.09919612158778637,7.574314701324329
CNNRNN,15,0.001,3,30,False,True,2_2,1024,128_256_512,0.027035102175662164,0.10263075781722122,7.308538912174602
CNNRNN,17,0.001,1,30,False,True,2_2,1024,256,0.02673314765443506,0.09856103791697476,5.244099393760895
CNNRNN,19,0.001,2,30,False,True,2_2,1024,256_512,0.026589633348176357,0.09765758530612907,6.697519874812937
CNNRNN,17,0.001,3,30,False,True,2_2,1024,256_512_1024,0.027229295188714035,0.09899162409338694,9.29358271095792
